Sale_ID,Sale_Date,Customer_ID,Customer_Name,Region,Product_ID,Product_Name,Category,Quantity,Unit_Price,Channel,Total_Revenue,Cost
S000017,2024-08-30,7d05f274,Greg James,Oeste,P00017,Just,Esporte,1,710.16,Loja Física,710.16,507.02
S000018,2024-05-13,266602c8,Kyle Thomas,Leste,P00018,Be,Esporte,6,428.26,Loja Física,2569.56,1899.24
S000019,2024-12-13,78b3c133,Eduardo Jones,Norte,P00019,Political,Alimentos,8,878.65,Loja Física,7029.2,4580.42
S000020,2023-11-01,51d796ec,Andrea Estrada,Oeste,P00020,Information,Alimentos,16,753.91,App,12062.56,7287.87
S000021,2024-12-06,a4be8ff3,Andrew Thomas,Oeste,P00021,Travel,Alimentos,11,52.18,Site,573.98,326.22
S000022,2024-02-09,528c62e9,Jeffrey Vargas,Norte,P00022,Fly,Eletrônicos,17,638.36,Loja Física,10852.12,6798.49
S000023,2023-08-10,a19b742a,Anthony Hicks,Sul,P00023,Avoid,Móveis,5,179.71,Site,898.55,705.6
S000024,2024-06-10,d5f8653b,Yvette Barker,Norte,P00024,Member,Esporte,3,908.18,Site,2724.54,2078.12
S000025,2024-05-12,a6a23675,Thomas Smith,Norte,P00025,Newspaper,Eletrônicos,7,553.6,App,3875.2,1954.68
S000026,2024-09-27,c5ef1509,Cathy Moore,Leste,P00026,Entire,Móveis,9,333.12,Site,2998.08,1533.89
S000027,2024-09-22,1562c90d,Casey Simon,Sul,P00027,Company,Eletrônicos,4,311.74,Loja Física,1246.96,787.44
S000028,2023-06-24,cd6a6ac4,Brandon George,Norte,P00028,Soldier,Móveis,3,338.54,Loja Física,1015.62,714.48
S000029,2024-10-23,c38d9d1a,Joan Lee,Oeste,P00029,Huge,Vestuário,3,953.86,Site,2861.58,2357.22
S000030,2023-12-03,53012a9d,Antonio Flores,Sul,P00030,Rate,Vestuário,4,403.54,Loja Física,1614.16,1093.67
S000031,2024-07-16,1908cd97,Steven Williams,Leste,P00031,Moment,Vestuário,15,660.58,Loja Física,9908.7,7865.67
S000032,2023-06-09,a92093ee,Travis Bishop,Oeste,P00032,Understand,Móveis,8,350.06,Site,2800.48,2500.27
S000033,2024-04-04,58c529f5,Charles Harris,Oeste,P00033,Turn,Alimentos,14,899.87,Site,12598.18,8949.13
S000034,2024-02-27,9d2acfc5,Kendra Payne,Oeste,P00034,Save,Eletrônicos,9,980.37,Loja Física,8823.33,7696.42
S000035,2023-08-21,7a00336c,Jason Riley,Norte,P00035,Happen,Eletrônicos,11,691.7,Loja Física,7608.7,4978.17
S000036,2024-10-06,4aa22ba3,Robin Ward,Norte,P00036,Adult,Móveis,15,599.68,Site,8995.2,7493.5
S000037,2024-10-31,28adbe22,David Hill,Norte,P00037,Good,Alimentos,3,764.06,App,2292.18,1888.27
S000038,2023-04-17,d2d6e850,Mrs. Natalie Garcia,Leste,P00038,Song,Alimentos,7,601.12,Site,4207.84,3676.41
S000039,2024-07-31,57b77b0e,Amber Burns,Oeste,P00039,Road,Vestuário,16,338.71,Site,5419.36,3221.93
S000040,2024-01-14,2573ccbf,Robert Bryant,Sul,P00040,Seem,Alimentos,14,272.76,Site,3818.64,3297.37
S000041,2025-01-09,bd42af2e,Michael Liu,Sul,P00041,Worry,Alimentos,7,519.3,Loja Física,3635.1,2055.31
S000042,2024-12-17,ee56e002,Thomas Rojas,Norte,P00042,Today,Alimentos,7,247.13,Loja Física,1729.91,1135.24
S000043,2023-04-21,1a8aa6bb,Crystal Wyatt,Oeste,P00043,Prevent,Esporte,4,27.54,Site,110.16,74.87
S000044,2024-01-04,113a65f7,Adriana Gilbert,Sul,P00044,Fast,Esporte,7,689.73,App,4828.11,2885.07
S000045,2023-06-19,b387a776,Cassandra Smith,Oeste,P00045,Newspaper,Esporte,20,138.52,Site,2770.4,2073.16
S000046,2024-09-03,102ff7b3,Christopher Smith,Leste,P00046,Dinner,Esporte,6,33.75,Site,202.5,151.3
S000047,2024-01-30,87cf5f5a,Jacob Thompson,Sul,P00047,Design,Esporte,12,791.69,App,9500.28,5181.85
S000048,2023-10-19,ffb2c920,Billy Hamilton,Sul,P00048,Newspaper,Vestuário,3,300.11,Loja Física,900.33,495.78
S000049,2024-06-13,6e82f8e1,Eric Harper,Norte,P00049,Movie,Esporte,7,655.48,Site,4588.36,3048.67
S000050,2024-11-10,6925ff31,Dana Shepherd,Norte,P00050,Explain,Alimentos,14,215.32,Loja Física,3014.48,2013.12
S000051,2024-01-03,17703aa7,Glen Cook,Norte,P00051,Lead,Móveis,1,366.0,Loja Física,366.0,286.24
S000052,2024-08-02,9bc49d2f,Amy Adams,Leste,P00052,Position,Esporte,19,779.66,App,14813.54,11531.69
S000053,2023-07-11,51041f1d,Michael Austin,Sul,P00053,Others,Alimentos,8,726.32,Loja Física,5810.56,3283.51
S000054,2023-12-06,660c9d49,Christopher Williams,Leste,P00054,Between,Alimentos,7,734.98,Site,5144.86,2991.27
S000055,2023-06-23,66687475,Tyler Spencer,Leste,P00055,Stuff,Esporte,1,664.53,Loja Física,664.53,366.29
S000056,2023-03-28,ac9685ff,Kelly Reid,Sul,P00056,Dark,Vestuário,19,363.19,Loja Física,6900.61,4710.23
S000057,2023-08-16,5b9ac159,Cristina Hughes,Oeste,P00057,Author,Móveis,16,987.97,Loja Física,15807.52,12452.25
S000058,2024-08-13,d45bea45,Jordan Sullivan,Leste,P00058,Put,Alimentos,13,220.85,App,2871.05,2392.72
S000059,2024-10-08,0a542141,Jill Campbell,Leste,P00059,Table,Vestuário,3,871.92,App,2615.76,1456.22
S000060,2023-08-31,30b146c7,Rhonda Hunter,Oeste,P00060,Than,Móveis,11,784.98,Site,8634.78,5789.65
S000061,2023-11-09,170961f9,Danielle Bennett,Norte,P00061,Turn,Esporte,19,90.89,Site,1726.91,1123.84
S000062,2023-03-17,da29e4c0,Erin Parker,Norte,P00062,Nothing,Vestuário,16,141.88,Site,2270.08,1870.06
S000063,2024-02-16,3cc3b22a,Lauren Fuentes,Oeste,P00063,Old,Esporte,15,242.38,Loja Física,3635.7,2713.66
S000064,2023-10-29,32afb38f,Renee Castillo,Leste,P00064,Stock,Móveis,18,13.54,App,243.72,185.18
S000065,2023-09-23,6af14ebe,Laurie Lewis,Leste,P00065,Debate,Vestuário,13,948.74,Site,12333.62,8157.84
S000066,2023-04-25,f6a92eba,Richard Jones,Sul,P00066,Smile,Esporte,3,591.43,App,1774.29,1465.2
S000067,2024-04-30,0b28201a,Chelsea Cole,Sul,P00067,Whose,Esporte,5,269.32,Site,1346.6,967.21
S000068,2025-01-16,48e8ac28,John Bailey,Sul,P00068,Environment,Eletrônicos,16,671.73,Site,10747.68,7735.25
S000069,2023-08-26,d7421ed6,Jacob Ho,Leste,P00069,Since,Eletrônicos,15,781.27,App,11719.05,6015.39
S000070,2023-10-28,4ee3c9cb,Zachary Conrad,Leste,P00070,Visit,Vestuário,7,509.51,App,3566.57,2509.73
S000071,2023-04-27,1b6443d8,Diana Diaz,Leste,P00071,Brother,Alimentos,1,992.64,Site,992.64,709.13
S000072,2023-04-19,878a3f0f,Jennifer Patterson,Norte,P00072,Better,Eletrônicos,18,827.74,Site,14899.32,12193.59
S000073,2023-12-13,aac99d53,Lindsay Hernandez,Sul,P00073,Dinner,Eletrônicos,12,553.12,Loja Física,6637.44,3776.03
S000074,2024-06-30,f546ad2a,Michelle Anderson,Sul,P00074,Dark,Esporte,8,526.32,App,4210.56,2769.06
S000075,2023-11-13,65aa41c0,Deborah Smith,Sul,P00075,Use,Móveis,15,251.76,Loja Física,3776.4,3016.3
S000076,2023-05-31,8e800ba1,Joseph Sanders,Sul,P00076,Follow,Móveis,13,614.4,Site,7987.2,5282.64
S000077,2025-01-17,c44169a6,Mrs. Sheri King,Leste,P00077,Significant,Esporte,10,452.03,Site,4520.3,3924.63
S000078,2023-03-06,1690e1fc,Kimberly Adams,Leste,P00078,Resource,Eletrônicos,10,518.11,Site,5181.1,3717.37
S000079,2024-10-20,321d0982,Michelle Powell,Leste,P00079,Enter,Alimentos,11,86.99,Site,956.89,709.48
S000080,2024-03-30,039634f5,Brett Brown,Oeste,P00080,Seek,Esporte,6,869.38,Site,5216.28,2955.67
S000081,2023-12-29,2ce6852e,Jason Richards,Leste,P00081,Type,Alimentos,12,773.09,Site,9277.08,5023.63
S000082,2024-09-26,273bd747,Michael English,Norte,P00082,Present,Móveis,3,969.42,App,2908.26,1528.18
S000083,2024-06-20,bda1d5c0,Shelly Rangel,Sul,P00083,Respond,Esporte,8,60.21,Loja Física,481.68,415.07
S000084,2023-05-27,0d2ecee7,Amy Wallace,Norte,P00084,Defense,Eletrônicos,10,307.8,App,3078.0,2440.67
S000085,2024-10-31,db3965d1,Stephen Soto,Leste,P00085,Well,Vestuário,14,762.06,Site,10668.84,6893.49
S000086,2025-01-18,d6b84780,Shirley Gallegos,Leste,P00086,Admit,Eletrônicos,11,693.57,Loja Física,7629.27,4313.85
S000087,2024-03-03,a9dbfd02,Lori Price,Norte,P00087,Option,Móveis,6,825.26,App,4951.56,3519.4
S000088,2023-11-17,eed05ad9,Charles Andrews,Norte,P00088,Certain,Alimentos,18,492.19,Loja Física,8859.42,4860.29
S000089,2024-05-09,013c071a,Stephen Nielsen,Oeste,P00089,Piece,Eletrônicos,3,420.85,Loja Física,1262.55,706.48
S000090,2024-05-17,458057cf,Kathleen Meyer,Leste,P00090,Wish,Vestuário,3,543.28,Site,1629.84,1365.88
S000091,2024-08-03,9b4d10f8,Jill Weiss,Leste,P00091,Argue,Móveis,6,587.79,Loja Física,3526.74,2870.29
S000092,2024-01-16,75c846d0,Angel Bond,Sul,P00092,Miss,Esporte,10,630.67,Loja Física,6306.7,3318.34
S000093,2024-06-09,b61b7cba,Benjamin Nelson,Sul,P00093,Sit,Vestuário,10,162.19,App,1621.9,1042.81
S000094,2024-05-30,6df5be40,Tiffany Shepherd,Norte,P00094,Five,Eletrônicos,8,153.01,Loja Física,1224.08,968.84
S000095,2023-06-04,67dea894,Cesar Bush,Sul,P00095,Check,Alimentos,1,725.86,Site,725.86,508.44
S000096,2023-03-25,84ddcaad,Shane Davis,Leste,P00096,Drug,Móveis,1,118.47,Site,118.47,90.36
S000097,2024-01-29,eb5106a2,Miguel Wright,Leste,P00097,Material,Esporte,14,354.24,Loja Física,4959.36,2826.29
S000098,2024-01-05,071c2aeb,Jeffrey Velasquez,Oeste,P00098,Institution,Móveis,18,370.19,Loja Física,6663.42,5376.15
S000099,2023-11-08,dc8a2761,Mrs. Kimberly Paul,Sul,P00099,Song,Móveis,19,686.72,App,13047.68,10353.0
S000100,2023-04-06,a8d35c03,Brittany Dodson,Oeste,P00100,Kind,Alimentos,15,454.51,Site,6817.65,6095.02
S000101,2023-03-29,7d2397ec,David Bradshaw,Norte,P00101,Make,Alimentos,6,343.54,Site,2061.24,1462.83
S000102,2024-03-28,b1192b27,Kristi Gray,Leste,P00102,Drive,Móveis,10,936.45,Loja Física,9364.5,5144.08
S000103,2024-06-14,995e4842,Robert Wilson,Oeste,P00103,Way,Vestuário,16,786.67,Site,12586.72,7690.15
S000104,2024-01-23,9f027c8c,Kristi Tanner,Norte,P00104,Perform,Eletrônicos,11,286.19,Loja Física,3148.09,1823.13
S000105,2024-02-15,fc4a0ec4,John Vang,Leste,P00105,Create,Alimentos,4,963.58,Site,3854.32,2254.12
S000106,2024-12-26,a03b55aa,Matthew Gonzales,Oeste,P00106,Rest,Alimentos,18,743.76,Loja Física,13387.68,8054.99
S000107,2023-05-21,56050b32,Chad Hutchinson,Oeste,P00107,Marriage,Alimentos,3,972.22,App,2916.66,1824.82
S000108,2023-02-05,586dcd2a,Justin Hodges,Sul,P00108,Recent,Esporte,8,810.16,Loja Física,6481.28,3692.86
S000109,2024-07-07,d0638f3b,Toni Rodriguez,Norte,P00109,Produce,Eletrônicos,19,543.97,Loja Física,10335.43,6259.03
S000110,2023-12-03,7dc332ee,Susan Clark,Sul,P00110,Start,Esporte,15,839.0,Site,12585.0,10048.8
S000111,2024-08-30,9499282a,Samantha Payne,Sul,P00111,After,Esporte,14,942.7,Site,13197.8,9605.07
S000112,2023-09-02,b3c920eb,Raven Chapman,Sul,P00112,Social,Vestuário,1,91.1,Loja Física,91.1,49.15
S000113,2024-08-15,f9c8bd33,Deborah Lopez,Oeste,P00113,Big,Esporte,15,167.97,Site,2519.55,2033.15
S000114,2024-08-21,325d28a6,Keith Berger,Norte,P00114,Ok,Eletrônicos,16,433.39,App,6934.24,5337.76
S000115,2024-03-25,672b3c3f,Lindsay Lloyd,Oeste,P00115,Society,Esporte,8,87.06,Loja Física,696.48,586.75
S000116,2023-02-23,86f507c6,Kelly Olson,Sul,P00116,Financial,Vestuário,13,709.41,Site,9222.33,6737.83
S000117,2023-08-15,19395053,Christine Cummings,Leste,P00117,Car,Esporte,15,932.51,Site,13987.65,7626.79
S000118,2024-05-07,b1598613,Thomas Smith,Sul,P00118,Order,Alimentos,16,793.21,App,12691.36,7477.18
S000119,2023-12-09,4d5cdc87,Krista Parks,Leste,P00119,Institution,Esporte,12,25.55,Site,306.6,169.52
S000120,2024-09-13,4dc3f12d,Crystal Schmidt,Leste,P00120,Election,Alimentos,20,377.7,Loja Física,7554.0,4948.89
S000121,2024-11-08,6864c20c,Jeffrey Phillips,Leste,P00121,Follow,Alimentos,10,555.94,Site,5559.4,3933.68
S000122,2024-02-06,b37bc147,Brett Cantrell,Leste,P00122,Pick,Eletrônicos,13,615.8,Site,8005.4,4672.47
S000123,2023-09-06,6443c5f5,Jessica Thomas,Norte,P00123,Appear,Vestuário,12,466.3,App,5595.6,4464.16
S000124,2024-10-23,c0afcdeb,Carolyn Landry,Sul,P00124,Window,Esporte,4,14.81,App,59.24,45.16
S000125,2023-06-05,46c95a35,Denise Pierce DVM,Norte,P00125,Key,Alimentos,14,866.82,Loja Física,12135.48,6214.67
S000126,2024-06-07,74b36892,Kathleen Smith,Leste,P00126,Three,Eletrônicos,1,569.49,Site,569.49,290.59
S000127,2023-03-30,c0655ac1,Kristen Smith,Oeste,P00127,Effort,Móveis,2,176.59,App,353.18,198.95
S000128,2023-02-28,50892a4d,Maureen Gordon,Sul,P00128,Evidence,Móveis,16,294.33,Site,4709.28,2705.17
S000129,2024-02-14,0f758ba8,Joshua Gill,Oeste,P00129,Theory,Móveis,19,239.75,App,4555.25,2905.73
S000130,2024-12-29,e02bc727,Amanda Gates,Oeste,P00130,Easy,Vestuário,12,471.33,App,5655.96,3332.32
S000131,2024-05-10,ed1e8363,Cassandra Phillips,Oeste,P00131,Thousand,Esporte,18,312.81,Site,5630.58,3043.17
S000132,2024-04-11,8f13f3a1,Lindsay Hess,Sul,P00132,Newspaper,Vestuário,17,647.03,App,10999.51,7379.72
S000133,2025-01-18,385476b1,Tonya Roberson,Sul,P00133,Reason,Eletrônicos,1,713.82,Loja Física,713.82,603.41
S000134,2024-08-24,c972d8f7,Sean Short,Leste,P00134,Product,Esporte,17,201.49,App,3425.33,2783.99
S000135,2024-12-26,14d0a54d,Troy Nguyen,Leste,P00135,Month,Esporte,18,127.99,App,2303.82,1659.39
S000136,2023-06-19,279321e7,Jason Gates,Leste,P00136,Provide,Esporte,17,999.25,Loja Física,16987.25,10294.75
S000137,2023-09-04,3b94241b,Tina Lawson,Norte,P00137,Financial,Vestuário,10,474.63,Site,4746.3,2676.82
S000138,2023-04-13,7623993e,Jennifer Lee,Sul,P00138,Under,Vestuário,3,170.3,App,510.9,407.08
S000139,2024-09-15,ccb01671,Charles Fitzgerald,Sul,P00139,Investment,Móveis,18,199.63,Site,3593.34,2701.18
S000140,2024-07-10,6cc4c82a,Steve Chavez,Oeste,P00140,Even,Vestuário,2,965.63,Loja Física,1931.26,1072.22
S000141,2023-12-10,06706ddf,Tracy Johnson,Oeste,P00141,Age,Esporte,15,109.73,Site,1645.95,1139.7
S000142,2023-07-08,14d129da,Miss Jamie Cox DVM,Norte,P00142,Choice,Móveis,6,409.93,Site,2459.58,1268.27
S000143,2023-08-29,852c56be,Jason Hart,Leste,P00143,Often,Esporte,11,356.01,Loja Física,3916.11,3456.82
S000144,2025-01-15,fb49bfbd,Patrick Lawson,Sul,P00144,System,Vestuário,15,316.94,Loja Física,4754.1,4087.73
S000145,2024-11-03,89263343,Terry Mitchell,Sul,P00145,Marriage,Móveis,9,742.96,Site,6686.64,3537.39
S000146,2024-02-01,bf97e34f,Darren Ortiz,Leste,P00146,Check,Eletrônicos,6,27.24,Loja Física,163.44,113.11
S000147,2024-12-27,7030eba7,Courtney Willis,Sul,P00147,Will,Móveis,15,863.97,Loja Física,12959.55,8547.52
S000148,2024-03-20,a95998fa,Barbara Tanner,Leste,P00148,Popular,Alimentos,12,581.99,Loja Física,6983.88,6006.76
S000149,2023-11-07,047ff240,Justin Kramer,Leste,P00149,Until,Alimentos,11,201.96,App,2221.56,1983.04
S000150,2023-04-16,cfbad3c8,Sara Gates,Oeste,P00150,Response,Esporte,8,228.98,Loja Física,1831.84,1592.87
S000151,2024-12-20,ce29cb9b,Tracy Rice,Sul,P00151,Serious,Alimentos,14,131.31,Site,1838.34,1094.21
S000152,2024-10-08,5fb23dc8,Rachael Cherry,Oeste,P00152,Job,Esporte,9,423.26,Site,3809.34,2658.57
S000153,2024-04-22,85fd0035,Amanda Smith,Oeste,P00153,Raise,Eletrônicos,1,256.61,Site,256.61,203.85
S000154,2024-01-28,e0556618,Mrs. Jasmine Sosa MD,Leste,P00154,Expert,Eletrônicos,20,341.55,Site,6831.0,3991.01
S000155,2024-10-19,adad7fc3,Gina Wilkerson,Oeste,P00155,Long,Móveis,15,461.13,App,6916.95,5653.19
S000156,2023-11-25,76175b04,Stephanie Bray,Oeste,P00156,Focus,Esporte,14,979.87,App,13718.18,10722.99
S000157,2023-12-05,3e206fdb,William Wilson,Leste,P00157,Ok,Esporte,8,21.68,App,173.44,135.8
S000158,2024-03-26,2798ded8,John Blair Jr.,Norte,P00158,President,Móveis,7,200.53,Site,1403.71,886.58
S000159,2024-12-01,dd74e289,John Jones,Leste,P00159,Book,Esporte,9,925.19,Site,8326.71,5764.93
S000160,2024-10-13,5913b68d,Lindsey Khan,Norte,P00160,Child,Eletrônicos,4,325.58,Loja Física,1302.32,1146.28
S000161,2024-10-30,01a12713,Dustin Ashley,Oeste,P00161,Nor,Móveis,8,960.19,Site,7681.52,4232.14
S000162,2024-07-03,9f6bcd20,Gina Brown,Leste,P00162,Seek,Móveis,15,612.9,Loja Física,9193.5,5424.58
S000163,2024-03-02,f2d4a6ef,Adrienne Kelly,Leste,P00163,Operation,Esporte,9,717.68,Site,6459.12,3653.13
S000164,2024-09-26,e7a4a3bc,Chad Cook,Leste,P00164,Rather,Eletrônicos,3,676.42,App,2029.26,1343.23
S000165,2024-02-24,8df99a4e,Angie Gray,Oeste,P00165,Table,Esporte,19,848.15,Site,16114.85,11603.6
S000166,2023-07-06,0982c785,Daniel Warner,Leste,P00166,Dog,Móveis,3,480.82,Loja Física,1442.46,812.09
S000167,2024-02-12,d55861ed,Christopher Williams,Sul,P00167,Oil,Esporte,7,960.22,Site,6721.54,5879.67
S000168,2023-12-04,3e069ebe,Ms. Jennifer James,Sul,P00168,Begin,Vestuário,17,997.09,Loja Física,16950.53,14354.06
S000169,2024-02-20,b17e985e,Michael Clark,Sul,P00169,Worker,Alimentos,3,462.86,Loja Física,1388.58,774.83
S000170,2024-06-23,e845f936,Roy Madden,Leste,P00170,Thought,Eletrônicos,6,349.06,Site,2094.36,1677.66
S000171,2023-04-11,b46f387b,Kimberly Taylor,Norte,P00171,Pm,Vestuário,4,17.71,Loja Física,70.84,56.64
S000172,2025-01-04,41661929,Katie Moore,Sul,P00172,Lot,Móveis,5,86.82,App,434.1,324.97
S000173,2024-11-27,1948bbd8,Teresa Hicks,Leste,P00173,Very,Vestuário,6,360.47,Site,2162.82,1127.5
S000174,2024-11-28,1de6cddf,Norma Boyd,Leste,P00174,Let,Vestuário,16,80.55,App,1288.8,888.44
S000175,2024-12-20,ba7e4944,Erin George,Sul,P00175,Treatment,Móveis,14,426.37,Site,5969.18,4354.03
S000176,2023-08-31,543c8283,Julie Martin,Leste,P00176,What,Eletrônicos,8,836.65,App,6693.2,4118.46
S000177,2024-03-03,83135f6a,Amy Whitney,Oeste,P00177,Such,Vestuário,7,161.22,Site,1128.54,618.42
S000178,2023-10-05,54bb8c62,Kimberly Jones,Norte,P00178,North,Móveis,9,163.91,App,1475.19,1005.03
S000179,2023-12-30,085aa616,William Hill,Norte,P00179,Sister,Esporte,19,577.14,Site,10965.66,7528.55
S000180,2023-08-19,b21e62a8,Charles Stewart,Oeste,P00180,Notice,Alimentos,3,644.93,Loja Física,1934.79,1290.84
S000181,2024-10-18,7330259c,Andre Cooke,Sul,P00181,Let,Alimentos,15,966.96,App,14504.4,12573.9
S000182,2023-05-09,90113001,Travis Robinson,Norte,P00182,Hour,Eletrônicos,18,871.1,Site,15679.8,13900.2
S000183,2023-05-06,c8c765fd,Roy Rush,Leste,P00183,Share,Vestuário,3,131.64,Site,394.92,210.53
S000184,2023-10-27,b4558ecb,Angela Fuller,Sul,P00184,Trouble,Eletrônicos,5,998.31,Loja Física,4991.55,4259.29
S000185,2024-01-04,baa3b317,Duane Williams,Sul,P00185,Cold,Móveis,11,581.18,Loja Física,6392.98,4819.8
S000186,2023-04-19,5a092efc,Kimberly Dixon,Oeste,P00186,Decide,Esporte,14,527.27,App,7381.78,5423.19
S000187,2023-04-28,ee5deaf1,Austin Ford,Oeste,P00187,Whom,Vestuário,11,418.58,Loja Física,4604.38,3504.1
S000188,2023-06-10,d5d8d3e0,William Phelps,Leste,P00188,Finish,Alimentos,5,939.51,App,4697.55,3520.15
S000189,2024-07-02,324e04b7,Brian Hendricks,Leste,P00189,Stuff,Eletrônicos,14,217.82,Loja Física,3049.48,1524.76
S000190,2024-11-21,b4aba522,Hailey Anderson,Norte,P00190,Imagine,Vestuário,7,894.42,App,6260.94,4789.8
S000191,2023-03-27,4be2f607,Rita Scott,Oeste,P00191,May,Eletrônicos,19,965.66,App,18347.54,9908.34
S000192,2023-05-31,14138ec1,Ashley Henderson,Leste,P00192,Main,Alimentos,2,381.93,Site,763.86,460.43
S000193,2023-05-26,4f9a8cf7,Dawn Chen DDS,Sul,P00193,Section,Eletrônicos,5,469.03,Loja Física,2345.15,1491.38
S000194,2023-06-06,a1dab633,Jennifer Watson,Leste,P00194,Happy,Vestuário,4,106.36,App,425.44,319.58
S000195,2024-02-18,161aeab3,Henry Saunders,Norte,P00195,Remain,Vestuário,8,499.75,Site,3998.0,3337.3
S000196,2024-06-26,abba6045,Molly Jones,Oeste,P00196,Trouble,Eletrônicos,12,391.48,Site,4697.76,4225.3
S000197,2024-01-08,51aa22e4,Stephanie Berry,Sul,P00197,Production,Eletrônicos,4,310.76,Site,1243.04,936.63
S000198,2024-07-19,b04f9cc2,Sarah Dougherty,Norte,P00198,Ground,Alimentos,4,39.24,App,156.96,84.53
S000199,2023-10-03,666fdbdb,Jessica Cuevas,Leste,P00199,Hair,Esporte,6,697.74,Site,4186.44,2121.28
S000200,2024-06-02,bf5cf08b,Victor Mason,Oeste,P00200,Price,Eletrônicos,20,865.37,App,17307.4,12907.09
S000201,2023-02-23,9df19998,Mrs. Theresa Ball,Oeste,P00201,Plant,Móveis,12,838.18,App,10058.16,6323.72
S000202,2023-07-15,aa5b7132,Michael Werner,Leste,P00202,To,Eletrônicos,6,958.21,Site,5749.26,2981.58
S000203,2024-05-16,d961813b,Alexander Curtis,Oeste,P00203,Treatment,Móveis,9,594.85,App,5353.65,3449.1
S000204,2023-11-15,6d483ea9,Christopher Patton,Sul,P00204,North,Vestuário,18,389.04,Site,7002.72,5461.62
S000205,2023-11-25,6254cd78,Mrs. Lauren Harrington,Leste,P00205,Speech,Esporte,11,196.54,Site,2161.94,1663.19
S000206,2024-07-30,1d04404e,Debra Coleman,Leste,P00206,Nation,Alimentos,13,708.43,Loja Física,9209.59,6748.52
S000207,2025-01-14,8428d45a,Michelle Clark,Oeste,P00207,Along,Móveis,19,87.88,App,1669.72,1152.74
S000208,2024-11-22,9ac448f0,Karen Adams,Norte,P00208,Newspaper,Alimentos,6,70.28,Site,421.68,222.81
S000209,2023-03-14,31c48da1,Leslie Hernandez,Leste,P00209,Maybe,Esporte,14,403.84,Site,5653.76,4929.2
S000210,2024-05-03,ce0eb48b,Robert Sanchez,Norte,P00210,Draw,Esporte,5,291.18,Site,1455.9,936.21
S000211,2023-09-11,9303ac5e,Shannon Stewart,Leste,P00211,Bank,Eletrônicos,19,972.01,Site,18468.19,15342.85
S000212,2023-03-08,06ecfd44,Anne Graham,Leste,P00212,Interesting,Vestuário,16,574.08,App,9185.28,5851.17
S000213,2024-08-23,66c64d0f,Stephanie Stewart,Norte,P00213,Author,Eletrônicos,19,472.73,App,8981.87,7283.14
S000214,2024-11-25,8bd8fb15,David Freeman,Oeste,P00214,Big,Esporte,16,214.04,Loja Física,3424.64,2997.09
S000215,2023-08-31,830950c7,Jennifer Henry,Sul,P00215,Action,Alimentos,1,313.55,App,313.55,246.17
S000216,2023-11-22,1a471e9b,Andrew Miles,Norte,P00216,Modern,Vestuário,8,471.87,Site,3774.96,2822.08
S000217,2023-10-05,5d369dd6,Jennifer Warren,Sul,P00217,Specific,Vestuário,16,48.66,Loja Física,778.56,520.8
S000218,2024-11-06,85600174,Melissa Thomas,Leste,P00218,Help,Alimentos,1,326.33,Site,326.33,202.27
S000219,2023-07-02,e32909e4,Amanda Serrano,Leste,P00219,Television,Móveis,9,930.9,Loja Física,8378.1,6699.29
